year	site	gap	tag	burn_yr	sv0708	sv0807	sago06	sago05	sago04	sago03	sago02	sago01	ht08	ht07	ht06	ht05	ht04	ht03	ht02	ht01	rep0708	rep0807	rep806	rep05	rep04	rep03	rep02	rep01	stm08	stm07	stm06	stm05	stm04	stm03	stm02	stm01	sv0709	sv0708	sv0807	sago06	sago05	sago04	sago03	sago02	ht09	ht08	ht07	ht06	ht05	ht04	ht03	ht02	rep09	rep0708	rep0807	rep806	rep05	rep04	rep03	rep02
2002	103	5152	1	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5156	2	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	16	18	3	NA	NA	NA	NA	NA	0	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	16	18	3	NA	NA	NA	NA	NA	0	1	0
2002	103	5156	3	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	23	9	3	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	23	9	3	NA	NA	NA	NA	NA	1	0	0
2002	103	5156	4	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	20	22	3	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	20	22	3	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	5	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	26	25	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	26	25	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	6	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	16	8	2	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	16	8	2	NA	NA	NA	NA	NA	0	0	0
2002	103	5156	7	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	28	12	2	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	28	12	2	NA	NA	NA	NA	NA	1	0	0
2002	103	5156	8	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	32	30	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	32	30	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	9	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	6	26	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	6	26	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	10	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	34	25	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	34	25	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	11	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	31	26	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	31	26	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	12	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	29	24	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	29	24	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	13	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	24	12	2	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	24	12	2	NA	NA	NA	NA	NA	1	0	0
2002	103	5156	14	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	24	13	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	24	13	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	15	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	36	18	3	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	36	18	3	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	16	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	29	6	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	29	6	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	17	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	32	14	1	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	32	14	1	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	18	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	40	25	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	40	25	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	19	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	25	16	2	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	25	16	2	NA	NA	NA	NA	NA	1	0	0
2002	103	5156	20	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	38	25	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	38	25	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	21	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	28	19	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	28	19	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	22	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	13	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	13	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	23	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5156	24	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	29	21	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	29	21	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	25	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	33	25	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	33	25	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	26	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	25	7	3	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	25	7	3	NA	NA	NA	NA	NA	1	0	0
2002	103	5156	27	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	26	25	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	26	25	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5156	28	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5156	28	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5156	28	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5156	28	2001	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	9	9	9	9	9	9	0	5	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA	NA	0
2002	103	5156	28	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	6	2	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	6	2	NA	NA	NA	NA	NA	1	0	0
2002	103	5156	28	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	17	11	2	NA	NA	NA	NA	NA	0	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	17	11	2	NA	NA	NA	NA	NA	0	0	0
2002	103	5156	29	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	19	8	2	NA	NA	NA	NA	NA	1	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	19	8	2	NA	NA	NA	NA	NA	1	0	0
2002	103	5161	30	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	30	30	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	30	30	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	31	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	52	43	19	NA	NA	NA	NA	NA	1	1	1	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	52	43	19	NA	NA	NA	NA	NA	1	1	1
2002	103	5161	32	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	45	25	4	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	45	25	4	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	33	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	35	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	35	35	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	34	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	49	34	5	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	49	34	5	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	35	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	38	19	3	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	38	19	3	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	36	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	37	13	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	37	13	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	37	2001	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	41	31	2	NA	NA	NA	NA	NA	1	1	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	1	1	5	NA	NA	NA	NA	NA	41	31	2	NA	NA	NA	NA	NA	1	1	0
2002	103	5161	38	2001	2	2	2	2	2	1	5	NA	NA	NA	NA	NA	NA	28	6	NA	NA	NA	NA	NA	NA	0	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	1	5	NA	NA	NA	NA	NA	NA	28	6	NA	NA	NA	NA	NA	NA	0	0
